,item_number,brand,model_specifications,price,current_promotions,shipping,page_number,product_links,image_link
17,Item=N82E16834235294,ASUS,"ASUS VivoBook S15 S532 Thin & Light Laptop, 15.6"" FHD, Intel Core i5-10210U CPU, 8 GB DDR4 RAM, 512 GB PCIe SSD, Windows 10 Home, IR camera, S532FA-DH55, Transparent Silver - Metal",$799.99,,Free Shipping,1,https://www.newegg.com/transparent-silver-asus-vivobook-s-s532fa-dh55-mainstream/p/N82E16834235294?Item=N82E16834235294,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/34-235-294-S01.jpg
18,Item=N82E16834235169,ASUS,"ASUS ZenBook 14, Intel Core Whiskey Lake i5-8265U, 8 GB RAM, 256 GB NVMe PCIe SSD, NumberPad, Wi-Fi 5, Windows 10, Ultra Thin and Light Laptop, 4-Way NanoEdge 14"" FHD, Silver Blue, UX431FA-ES51",$796.99,,$2.99 Shipping,1,https://www.newegg.com/utopia-blue-metal-asus-zenbook-ux431fa-es51-mainstream/p/N82E16834235169?Item=N82E16834235169,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/34-235-169-V15.jpg
19,Item=N82E16834235170,ASUS,"ASUS ZenBook 14, Intel Core Whiskey Lake i7-8565U, 8 GB RAM, 512 GB NVMe PCIe SSD, Wi-Fi 5, Windows 10, Silver Blue, Ultra Thin and Light Laptop, 4-Way NanoEdge 14"" FHD UX431FA-ES74",$872.99,,Free Shipping,1,https://www.newegg.com/utopia-blue-metal-asus-zenbook-ux431fa-es74-mainstream/p/N82E16834235170?Item=N82E16834235170,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/34-235-170-V17.jpg
20,Item=1TS-000X-00V20,Acer America,"Acer Aspire 3 A315-32-C3KK 15.6"" LCD Notebook - Intel Celeron N4100 Quad-core (4 Core) 1.10 GHz - 4 GB DDR4 SDRAM - 1 TB HDD - Windows 10 Home 64-bit - 1920 x 1080 - ComfyView - Oxidant Red",$349.99,,$2.99 Shipping,1,https://www.newegg.com/p/1TS-000X-00V20?Item=1TS-000X-00V20,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/A00V_131926615431596935IKmY6QH87o.jpg
21,Item=N82E16834736106,Microsoft,"Microsoft Surface Laptop 3 - 13.5"" Touch-Screen - Intel Core i5 - 8 GB Memory - 128 GB Solid State Drive (Latest Model) - Platinum with Alcantara",$999.00,,$2.99 Shipping,1,https://www.newegg.com/platinum-with-alcantara-material-palm-rest-microsoft-surface-laptop-3-vgy-00001-mainstream/p/N82E16834736106?Item=N82E16834736106,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/34-736-106-V01.jpg
22,Item=N82E16834235295,ASUS,"ASUS VivoBook S15 S532 Thin & Light Laptop, 15.6"" FHD, Intel Core i5-10210U CPU, 8 GB DDR4 RAM, 512 GB PCIe SSD, Windows 10 Home, IR camera, S532FA-DH55-GN, Moss Green - Metal",$799.99,,Free Shipping,1,https://www.newegg.com/green-asus-vivobook-s-s532fa-dh55-gn-mainstream/p/N82E16834235295?Item=N82E16834235295,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/34-235-295-V11.jpg
23,Item=1TS-000D-039R3,HP,"HP Laptop ProBook 450 G6 (5VC00UT#ABA) Intel Core i5 8th Gen 8265U (1.60 GHz) 8 GB Memory 256 GB SSD Intel UHD Graphics 620 15.6"" 1920 x 1080 Windows 10 Pro 64-bit",$849.00,,Free Shipping,1,https://www.newegg.com/natural-silver-hp-probook-450-g6-mainstream/p/1TS-000D-039R3?Item=1TS-000D-039R3,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/A19P_1_201904111655030926.jpg
24,Item=N82E16834847258,Lenovo,"Lenovo Laptop IdeaPad 130S-11IGM 81KT0000US Intel Pentium Silver N5000 (1.10 GHz) 4 GB LPDDR4 Memory 64 GB eMMC Intel UHD Graphics 605 11.6"" Windows 10 S",$299.99,,$2.99 Shipping,1,https://www.newegg.com/mineral-grey-lenovo-ideapad-130s-11igm-81kt0000us-mainstream/p/N82E16834847258?Item=N82E16834847258,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/34-847-258-V17.jpg
25,Item=N82E16834847844,Lenovo,"Lenovo Laptop IdeaPad S940 81R00004US Intel Core i7 8th Gen 8565U (1.80 GHz) 8 GB LPDDR3 Memory 256 GB PCIe SSD Intel UHD Graphics 620 14.0"" Windows 10 Home 64-bit","$1,499.99",,Free Shipping,1,https://www.newegg.com/iron-grey-lenovo-ideapad-s940-81r00004us-mainstream/p/N82E16834847844?Item=N82E16834847844,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/34-847-844-V12.jpg
26,Item=N82E16834235291R,ASUS,"Open Box: ASUS VivoBook 15 Thin and Light Laptop, 15.6"" Full HD, AMD Quad Core R7-3700U CPU, 8 GB DDR4 RAM, 512 GB SSD, AMD Radeon Vega 10 Graphics, Windows 10 Home, F512DA-NH77, Slate Gray",$577.99,,$2.99 Shipping,1,https://www.newegg.com/slate-gray-asus-f512da-nh77-mainstream/p/N82E16834235291R?Item=N82E16834235291R,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/34-235-291-S26.jpg
27,Item=2WC-0001-00233,HP,"HP Laptop ProBook 645 G4 (4LB42UT#ABA) AMD Ryzen 7 1st Gen 2700U (2.20 GHz) 8 GB Memory 256 GB PCIe NVMe SSD AMD Radeon RX Vega 10 14.0"" Windows 10 Pro 64-Bit",$799.00,,Free Shipping,1,https://www.newegg.com/hp-probook-645-g4-mainstream/p/2WC-0001-00233?Item=2WC-0001-00233,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/V112_1_20190327543337532.jpg
28,Item=N82E16834316873,Acer America,"Acer Laptop Swift 5 SF514-54T-5428 Intel Core i5 10th Gen 1035G1 (1.00 GHz) 8 GB LPDDR4 Memory 512 GB SSD Intel UHD Graphics 14"" Touchscreen Windows 10 Home 64-bit",$899.99,,$2.99 Shipping,1,https://www.newegg.com/charcoal-blue-acer-swift-5-sf514-54t-5428-mainstream/p/N82E16834316873?Item=N82E16834316873,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/34-316-873-S01.jpg
29,Item=N82E16834155294,MSI,"MSI Laptop Modern 14 A10M-460 Intel Core i5 10th Gen 10210U (1.60 GHz) 8 GB Memory 512 GB NVMe SSD 14.0"" Windows 10 Home 64-bit",$749.00,,$2.99 Shipping,1,https://www.newegg.com/grey-with-blue-diamond-cut-msi-modern-14-a10m-460-mainstream/p/N82E16834155294?Item=N82E16834155294,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/34-155-294-V01.jpg
30,Item=N82E16834155175,MSI,"MSI Laptop P Series P65 Creator-654 Intel Core i9 9th Gen 9880H (2.30 GHz) 32 GB Memory 1 TB NVMe SSD NVIDIA GeForce RTX 2070 15.6"" 4K/UHD Windows 10 Pro 64-bit","$2,699.00","Get 3 months of Adobe Creative Cloud w/ purchase, while supplies last",Free Shipping,1,https://www.newegg.com/space-gray-with-silver-diamond-cut-msi-p-series-p65-creator-654-gaming-entertainment/p/N82E16834155175?Item=N82E16834155175,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/34-155-175-V31.jpg
31,Item=N82E16834272218,HP,"HP Mobile Thin Client Notebook Mt44 4JA74UA#ABA AMD Ryzen 3 1st Gen 2300U (2.00 GHz) 8 GB Memory 128 GB SSD AMD Radeon Vega 6 14.0"" Windows 10 Pro 64-bit",$349.99,,Free Shipping,1,https://www.newegg.com/hp-mt44-4ja74ua-aba/p/N82E16834272218?Item=N82E16834272218,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/34-272-218-S08.jpg
32,Item=N82E16834155379,MSI,"MSI Laptop Modern 15 A10RAS-096 Intel Core i7 10th Gen 10510U (1.80 GHz) 16 GB Memory 512 GB NVMe SSD NVIDIA GeForce MX330 15.6"" Windows 10 Home 64-bit",$949.00,,$2.99 Shipping,1,https://www.newegg.com/black-msi-modern-15-a10ras-096-mainstream/p/N82E16834155379?Item=N82E16834155379,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/34-155-379-S01.jpg
33,Item=N82E16834316751,Acer America,"Acer Chromebook 512 C851T-C253 12"" Touchscreen Chromebook - 1366 x 912 - Celeron N4000 - 4 GB RAM - 32 GB Flash Memory - Black",$386.99,,$2.99 Shipping,1,https://www.newegg.com/p/N82E16834316751?Item=N82E16834316751,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/34-316-751-V01.jpg
34,Item=N82E16834233265,GIGABYTE,AERO 15 XA-7US2130SH FHD 240 Hz i7-9750H NVIDIA GeForce RTX 2070 Max-Q 8 GB GDDR6 16 GB RAM 512 GB M.2 PCIe SSD Win 10 Home Gaming Laptop,"$2,299.00","Get 3 months of Adobe Creative Cloud w/ purchase, while supplies last",Free Shipping,1,https://www.newegg.com/p/N82E16834233265?Item=N82E16834233265,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/34-233-265-S01.jpg
35,Item=N82E16834736088,Microsoft,"Microsoft Surface Laptop 3 - 15"" Touch-Screen - AMD Ryzen 5 Microsoft Surface Edition - 16 GB Memory - 256 GB Solid State Drive - Platinum","$1,699.00",,$2.99 Shipping,1,https://www.newegg.com/platinum-microsoft-surface-laptop-3-v9r-00001-mainstream/p/N82E16834736088?Item=N82E16834736088,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/34-736-088-V07.jpg
36,Item=1TS-0016-00N96,MSI,"MSI Creator 15M A9SE-043 15.6"" 120Hz FHD Creator Laptop Intel Core i7-9750H RTX2060 16GB 1TB NVMe SSD Win10","$1,399.99",,Free Shipping,2,https://www.newegg.com/p/1TS-0016-00N96?Item=1TS-0016-00N96,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/AKVH_1_20191103286370231.jpg
37,Item=N82E16834850792,Lenovo,"Lenovo ThinkPad T480s 20L7002CUS 14"" LCD Notebook - Intel Core i5 (8th Gen) i5-8350U Quad-core (4 Core) 1.70 GHz - 8 GB DDR4 SDRAM - 256 GB SSD - Windows 10 Pro 64-bit (English) - 1920 x 1080 - In-...","$1,039.99",,$2.99 Shipping,2,https://www.newegg.com/p/N82E16834850792?Item=N82E16834850792,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/34-850-792-V04.jpg
38,Item=N82E16834271180,HP,"HP Laptop 17-ca0056nr AMD A9-Series A9-9425 (3.10 GHz) 8 GB Memory 1 TB HDD AMD Radeon R5 Series 17.3"" Windows 10 Home 64-bit",$500.99,,$3.99 Shipping,2,https://www.newegg.com/hp-finish-in-chalkboard-gray-and-ash-silver-with-a-matte-finish-in-a-mesh-knit-vertical-brushed-patt/p/N82E16834271180?Item=N82E16834271180,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/34-271-180-V05.jpg
39,Item=1TS-000E-0EH12,Lenovo,"Lenovo ThinkPad P53 Mobile Workstation 20QN001VUS - Intel Six Core i7-9850H, 16GB RAM, 512GB PCIe NVMe SSD, 15.6"" HDR 400 FHD IPS 500nits Display, NVIDIA Quadro T2000 4GB Graphics, Windows 10 Pro","$2,347.99",,$8.69 Shipping,2,https://www.newegg.com/p/1TS-000E-0EH12?Item=1TS-000E-0EH12,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/A6ZP_1_201908121988867776.jpg
40,Item=N82E16834235424,ASUS,"ASUS ZenBook 13 Ultra-Slim Durable Laptop 13.3"" FHD WideView, Intel Core i7-10510U, 16 GB RAM, 512 GB PCIe SSD, NumberPad, Windows 10 Pro - UX333FAC-XS77, Royal Blue",$999.99,,Free Shipping,2,https://www.newegg.com/royal-blue-metal-asus-zenbook-ux333fac-xs77-mainstream/p/N82E16834235424?Item=N82E16834235424,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/34-235-424-V21.jpg
41,Item=N82E16834235286R,ASUS,"Open Box: ASUS ZenBook 15 Ultra-Slim Laptop 15.6"" 4K UHD NanoEdge Bezel, Intel Core i7-10510U, 16 GB RAM, 1 TB PCIe SSD, GeForce GTX 1650, Innovative ScreenPad 2.0, Windows 10 Pro, UX534FTC-NH76, Royal Blue","$1,399.99",,Free Shipping,2,https://www.newegg.com/royal-blue-asus-zenbook-ux534ftc-nh76-gaming-entertainment/p/N82E16834235286R?Item=N82E16834235286R,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/34-235-286-V19.jpg
42,Item=N82E16834132261,SAMSUNG,"SAMSUNG Laptop Notebook Flash NP530XBB-K01US Intel Celeron N4000 (1.10 GHz) 4 GB LPDDR4 Memory 64 GB eMMC SSD Intel UHD Graphics 600 13.3"" Windows 10 Home 64-bit",$349.99,,$2.99 Shipping,2,https://www.newegg.com/twill-charcoal-samsung-notebook-flash-np530xbb-k01us-everyday-value/p/N82E16834132261?Item=N82E16834132261,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/34-132-261-Z01.jpg
43,Item=N82E16834155308,MSI,"MSI Laptop Prestige 14 A10SC-021 Intel Core i7 10th Gen 10710U (1.10 GHz) 16 GB Memory 1 TB NVMe SSD NVIDIA GeForce GTX 1650 Max-Q 14.0"" Windows 10 Pro 64-bit","$1,699.99",,$9.18 Shipping,2,https://www.newegg.com/grey-with-blue-diamond-cut-msi-prestige-14-a10sc-021-mainstream/p/N82E16834155308?Item=N82E16834155308,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/34-155-308-V01.jpg
44,Item=N82E16834155381,MSI,"MSI Laptop Modern 15 A10M-098 Intel Core i5 10th Gen 10210U (1.60 GHz) 8 GB Memory 512 GB NVMe SSD Intel UHD Graphics 15.6"" Windows 10 Home 64-bit",$749.00,,$2.99 Shipping,2,https://www.newegg.com/black-msi-modern-15-a10m-098-mainstream/p/N82E16834155381?Item=N82E16834155381,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/34-155-381-S01.jpg
45,Item=N82E16834270989,HP,"HP Laptop ProBook 445 G6 (6KJ26UT#ABA) AMD Ryzen 7 1st Gen 2700U (2.20 GHz) 16 GB Memory 512 GB SSD AMD Radeon Vega 10 14.0"" Windows 10 Pro 64-bit","$1,049.00",,$2.99 Shipping,2,https://www.newegg.com/silver-hp-probook-445-g6-mainstream/p/N82E16834270989?Item=N82E16834270989,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/A24G_1_20190306820040026.jpg
46,Item=N82E16834316467,Acer America,"Acer TravelMate P2 P2410-G2-M TMP2410-G2-M-55HN 14"" LCD Notebook - Intel Core i5 (8th Gen) i5-8250U Quad-core (4 Core) 1.60 GHz - 8 GB DDR4 SDRAM - 500 GB HDD - Windows 10 Pro 64-bit - 1366 x 768",$819.99,,$2.99 Shipping,2,https://www.newegg.com/black-acer-travelmate-p2-tmp2410-g2-m-55hn/p/N82E16834316467?Item=N82E16834316467,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/34-316-467-V17.jpg
47,Item=1TS-000E-0DAZ3,Lenovo,"Lenovo ThinkPad T590 20N4001NUS 15.6"" Notebook - 1920 x 1080 - Core i5 i5-8265U - 8 GB RAM - 256 GB SSD - Windows 10 Pro 64-bit - Intel UHD Graphics 620 - In-plane Switching (IPS) Technology - En","$1,407.99",,$2.99 Shipping,2,https://www.newegg.com/p/1TS-000E-0DAZ3?Item=1TS-000E-0DAZ3,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/AKAC_1_201906121859029620.jpg
48,Item=1TS-000E-0EVH4,Lenovo,"Lenovo IdeaPad S340-15API 81NC009FUS 15.6"" Notebook - 1366 x 768 - Ryzen 7 3700U - 8 GB RAM - 256 GB SSD - Abyss Blue",$717.99,,$8.92 Shipping,2,https://www.newegg.com/p/1TS-000E-0EVH4?Item=1TS-000E-0EVH4,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/V197_1_201909091886524457.jpg
49,Item=N82E16834316854,Acer America,"Acer Chromebook 714 CB714-1WT-5427 14"" Touchscreen Chromebook - 1920 x 1080 - Core i5 i5-8350U - 8 GB RAM - 64 GB Flash Memory - Steel Gray",$858.99,,$2.99 Shipping,2,https://www.newegg.com/p/N82E16834316854?Item=N82E16834316854,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/A0ZX_1_201911151374046004.jpg
50,Item=N82E16834233281,GIGABYTE,"GIGABYTE AERO 15S OLED XA-7US5130SP 15.6"" 4K AMOLED 60 Hz Intel Core i7 9th Gen 9750H (2.60 GHz) NVIDIA GeForce RTX 2070 16 GB Memory 512 GB SSD Windows 10 Pro 64-bit Gaming Laptop","$2,199.00",,Free Shipping,2,https://www.newegg.com/p/N82E16834233281?Item=N82E16834233281,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/34-233-281-V19.jpg
51,Item=N82E16834725061,AORUS,"Aorus 15-WA-F74ADW 15.6"" 144 Hz IPS Intel Core i7 9th Gen 9750H (2.60 GHz) NVIDIA GeForce RTX 2060 16 GB Memory 512 GB SSD Windows 10 Home 64-bit Gaming Laptop","$1,599.00",,Free Shipping,2,https://www.newegg.com/p/N82E16834725061?Item=N82E16834725061,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/34-725-061-V18.jpg
52,Item=N82E16834155323,MSI,"MSI Laptop Modern 15 A10M-014 Intel Core i5 10th Gen 10210U (1.60 GHz) 8 GB Memory 512 GB NVMe SSD Intel UHD Graphics 15.6"" Windows 10 Home 64-bit",$849.99,,$2.99 Shipping,2,https://www.newegg.com/black-msi-modern-15-a10m-014-mainstream/p/N82E16834155323?Item=N82E16834155323,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/34-155-323-V14.jpg
53,Item=1TS-000E-0F217,Lenovo,"Lenovo ThinkPad P43s 20RH002SUS 14"" Mobile Workstation - 1920 x 1080 - Core i7 i7-8565U - 16 GB RAM - 512 GB SSD - Glossy Black - Windows 10 Pro 64-bit - NVIDIA Quadro P520 with 2 GB - In-plane S","$1,692.99",,$8.69 Shipping,2,https://www.newegg.com/p/1TS-000E-0F217?Item=1TS-000E-0F217,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/ACVB_1_20191218574869231.jpg
54,Item=2WC-000J-008K0,Lenovo,"Lenovo ThinkPad P53s 15.6"" Touchscreen Laptop i7-8565U 512GB SSD Quadro P520","$1,850.99",,$8.92 Shipping,2,https://www.newegg.com/p/2WC-000J-008K0?Item=2WC-000J-008K0,//c1.neweggimages.com/NeweggImage/ProductImageCompressAll300/V1DS_1_201910011362191881.jpg
